Quarter,Sales,CMA(w=4),Raw.Sea,avg.RS,,SI,
Q1_86,1734.83,,,,,,
Q2_86,2244.96,,,,,,
Q3_86,2533.8,2143.76125,1.181941319,1.065138935,Q3,1.064338171,6.4% high sales
Q4_86,2154.96,2102.81625,1.024797102,0.961413754,Q4,0.96069097,4% low sales 
Q1_87,1547.82,2020.3175,0.766127106,0.879530942,Q1,0.878869717,13% low sales
Q2_87,2104.41,1934.98625,1.087558116,1.096925804,Q2,1.096101143,9.6% high sales
Q3_87,2014.36,1954.73875,1.030500879,,,,
Q4_87,1991.75,2021.045,0.985505023,4.003009436,sum,4,
Q1_88,1869.05,2061.4425,0.906670936,1.000752359,average,1,
Q2_88,2313.63,2080.0725,1.112283346,,,,
Q3_88,2128.32,2089.65125,1.018504882,,,,
Q4_88,2026.83,2097.03625,0.966521203,,,,
Q1_89,1910.6,2109.00625,0.905924295,,,,
Q2_89,2331.16,2137.1775,1.090765741,,,,
Q3_89,2206.55,2185.28,1.009733306,,,,
Q4_89,2173.97,2266.00875,0.95938288,,,,
Q1_90,2148.28,2390.3025,0.898748171,,,,
Q2_90,2739.31,2511.3325,1.090779497,,,,
Q3_90,2792.75,2600.67375,1.073856342,,,,
Q4_90,2556.01,2679.78625,0.953811148,,,,
Q1_91,2480.97,2764.73375,0.897363082,,,,
Q2_91,3039.52,2852.52875,1.065552801,,,,
Q3_91,3172.12,2929.28125,1.082900456,,,,
Q4_91,2879,3029.47,0.950331246,,,,
Q1_92,2772,3135.265,0.884135791,,,,
Q2_92,3550,3222.8575,1.10150697,,,,
Q3_92,3508,3303.965,1.061754589,,,,
Q4_92,3243.86,3383.09,0.958845316,,,,
Q1_93,3056,3441.84,0.887897171,,,,
Q2_93,3899,3473.1075,1.122625775,,,,
Q3_93,3629,3526.25,1.029138603,,,,
Q4_93,3373,3618.625,0.932122008,,,,
Q1_94,3352,3778,0.887241927,,,,
Q2_94,4342,3962.5,1.095772871,,,,
Q3_94,4461,4105.75,1.086524995,,,,
Q4_94,4017,4242.75,0.946791586,,,,
Q1_95,3854,4371.25,0.881670003,,,,
Q2_95,4936,4465,1.105487122,,,,
Q3_95,4895,4547,1.076533978,,,,
Q4_95,4333,4629.125,0.936030027,,,,
Q1_96,4194,,,,,,
Q2_96,5253,,,,,,
